field,value,source_doi,source_pdf,char_span
sample_type,Park Memorial Institute (RPMI) 1640 medium,10.1002/etc.5742,10_1002_etc_5742.pdf,"[2619, 2661]"
sample_type,penicillin,10.1002/etc.5742,10_1002_etc_5742.pdf,"[2706, 2716]"
sample_type,streptomycin,10.1002/etc.5742,10_1002_etc_5742.pdf,"[2732, 2744]"
sample_type,fetal bovine serum (FBS),10.1002/etc.5742,10_1002_etc_5742.pdf,"[2753, 2771]"
sample_type,Macrophages from each bird,10.1002/etc.5742,10_1002_etc_5742.pdf,"[5539, 5565]"
instrument,Shimadzu Total Organic Carbon Analyzer,10.1002/etc.5742,10_1002_etc_5742.pdf,"[7262, 7300]"
sample_type,Water samples,10.1002/etc.5742,10_1002_etc_5742.pdf,"[7027, 7040]"
instrument,custom-built hybrid linear ion trap FT-ICR mass spectrometer,10.1002/etc.5742,10_1002_etc_5742.pdf,"[9028, 9090]"
ionization_method,microelectrospray source,10.1002/etc.5742,10_1002_etc_5742.pdf,"[8674, 8698]"
sample_type,SPE extracts of dissolved organic matter (DOM) extracts,10.1002/etc.5742,10_1002_etc_5742.pdf,"[8951, 9006]"
software_tools,PetroOrg,10.1002/etc.5742,10_1002_etc_5742.pdf,"[11484, 11492]"
instrument,Fourier -Transform Ion Cyclotron Resonance Mass Spectrometry (FT-ICR MS),10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[1729, 1801]"
sample_type,Uranium-endohedral fullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[1261, 1290]"
ionization_method,LDI-TOF positive-ion,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[3758, 3778]"
sample_type,U@C 60,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[4952, 4958]"
instrument,Bruker Microflex LRF,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[8248, 8268]"
ionization_method,Positive-ion laser desorption/ionization time-of-flight mass spectrometry measurement (LDITOF-MS),10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[8131, 8228]"
sample_type,mono-uranium endohedrals,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[8506, 8530]"
ionization_method,positive ions,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[9483, 9496]"
sample_type,raw soot extracted using o-DCB,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[9250, 9281]"
ionization_method,LDI-TOF,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[12417, 12424]"
sample_type,DFT calculations,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[15715, 15731]"
software_tools,ADF 2017,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[20165, 20173]"
sample_type,fullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[21879, 21889]"
instrument,high resolution Fourier transform ion cyclo- tron resonance (FT-ICR) mass spectrometer,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[24020, 24093]"
sample_type,non-Isolated-PentagonRule Actinide Endohedral Metallofullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[25285, 25348]"
sample_type,fullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[26480, 26490]"
sample_type,Fullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[30098, 30107]"
instrument,graphite electrode arc process,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[30125, 30155]"
sample_type,metallofullerenes,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[31039, 31056]"
software_tools,ADF,10.1002/hlca.201900046,10_1002_hlca_201900046.pdf,"[31652, 31655]"
instrument,LCQ,10.1002/jms.3345,10_1002_jms_3345.pdf,"[801, 804]"
ionization_method,negative-ion mode,10.1002/jms.3345,10_1002_jms_3345.pdf,"[735, 752]"
instrument,modi fi ed LTQ Fourier transform ion cyclotron resonance (FT-ICR) mass spectrometer,10.1002/jms.3345,10_1002_jms_3345.pdf,"[1050, 1133]"
ionization_method,Fourier transform ion cyclotron resonance (FT-ICR),10.1002/jms.3345,10_1002_jms_3345.pdf,"[1065, 1115]"
facility,National High Magnetic Field Laboratory (NHMFL),10.1002/jms.3345,10_1002_jms_3345.pdf,"[961, 1008]"
sample_type,NOM-like functional groups,10.1002/jms.3345,10_1002_jms_3345.pdf,"[3194, 3220]"
instrument,LCQ,10.1002/jms.3345,10_1002_jms_3345.pdf,"[4098, 4101]"
sample_type,solution conditions,10.1002/jms.3345,10_1002_jms_3345.pdf,"[4060, 4079]"
instrument,9.4 T instrument,10.1002/jms.3345,10_1002_jms_3345.pdf,"[4985, 5001]"
ionization_method,negative-ion mode,10.1002/jms.3345,10_1002_jms_3345.pdf,"[4949, 4966]"
software_tools,Composer,10.1002/jms.3345,10_1002_jms_3345.pdf,"[5024, 5032]"
instrument,LCQ,10.1002/jms.3345,10_1002_jms_3345.pdf,"[7244, 7247]"
sample_type,NOM-unrelated standard SRFA,10.1002/jms.3345,10_1002_jms_3345.pdf,"[6965, 6992]"
instrument,9.4 and 14.5 T instruments,10.1002/jms.3345,10_1002_jms_3345.pdf,"[8932, 8958]"
sample_type,Mixes A and C (in solution),10.1002/jms.3345,10_1002_jms_3345.pdf,"[8777, 8808]"
facility,NHMFL,10.1002/jms.3345,10_1002_jms_3345.pdf,"[8759, 8764]"
instrument,Velos,10.1002/jms.3345,10_1002_jms_3345.pdf,"[11053, 11058]"
sample_type,Mixes 1 -7 MS,10.1002/jms.3345,10_1002_jms_3345.pdf,"[10943, 10956]"
sample_type,SRFA,10.1002/jms.3345,10_1002_jms_3345.pdf,"[12847, 12851]"
ionization_method,electrospray ionization,10.1002/jms.3345,10_1002_jms_3345.pdf,"[12991, 13014]"
instrument,LTQ-Velos,10.1002/jms.3345,10_1002_jms_3345.pdf,"[15787, 15796]"
sample_type,Samples,10.1002/lno.11385,10_1002_lno_11385.pdf,"[1429, 1436]"
instrument,YSI Pro Plus sonde,10.1002/lno.11385,10_1002_lno_11385.pdf,"[1733, 1751]"
sample_type,DOC concentration measurements,10.1002/lno.11385,10_1002_lno_11385.pdf,"[2794, 2824]"
facility,"University of Miami, Rosenstiel School of Marine and Atmospheric Sciences",10.1002/lno.11385,10_1002_lno_11385.pdf,"[2953, 3026]"
instrument,Shimadzu UV-1800 spectrophotometer,10.1002/lno.11385,10_1002_lno_11385.pdf,"[10312, 10346]"
instrument,Hitachi F-7000,10.1002/lno.11385,10_1002_lno_11385.pdf,"[11222, 11236]"
sample_type,Excitation emission matrices (EEMs),10.1002/lno.11385,10_1002_lno_11385.pdf,"[11163, 11198]"
software_tools,drEEM toolbox for MATLAB,10.1002/lno.11385,10_1002_lno_11385.pdf,"[11554, 11578]"
sample_type,DOM,10.1002/lno.11385,10_1002_lno_11385.pdf,"[11984, 11987]"
instrument,custom-built FT-ICR MS,10.1002/lno.11385,10_1002_lno_11385.pdf,"[12908, 12930]"
ionization_method,electrospray ionization,10.1002/lno.11385,10_1002_lno_11385.pdf,"[13187, 13210]"
sample_type,Acidi fi ed samples,10.1002/lno.11385,10_1002_lno_11385.pdf,"[12575, 12594]"
facility,National High Magnetic Field Laboratory,10.1002/lno.11385,10_1002_lno_11385.pdf,"[13036, 13075]"
software_tools,EnviroOrg,10.1002/lno.11385,10_1002_lno_11385.pdf,"[13530, 13539]"
instrument,FT-ICR MS,10.1002/lno.11417,10_1002_lno_11417.pdf,"[1525, 1534]"
sample_type,Surface-water samples,10.1002/lno.11417,10_1002_lno_11417.pdf,"[1198, 1219]"
instrument,Shimadzu TOC-L CHP,10.1002/lno.11417,10_1002_lno_11417.pdf,"[2562, 2580]"
sample_type,Filtered samples,10.1002/lno.11417,10_1002_lno_11417.pdf,"[2434, 2450]"
instrument,Horiba Aqualog,10.1002/lno.11417,10_1002_lno_11417.pdf,"[2956, 2970]"
software_tools,MATLAB,10.1002/lno.11417,10_1002_lno_11417.pdf,"[3112, 3118]"
software_tools,DrEEM toolbox,10.1002/lno.11417,10_1002_lno_11417.pdf,"[3129, 3142]"
sample_type,Lignin phenol concentrations and yields,10.1002/lno.11417,10_1002_lno_11417.pdf,"[11708, 11747]"
instrument,FT-ICR MS,10.1002/lno.11417,10_1002_lno_11417.pdf,"[13827, 13836]"
ionization_method,negative electrospray ionization,10.1002/lno.11417,10_1002_lno_11417.pdf,"[14038, 14070]"
sample_type,Methanolic extracts,10.1002/lno.11417,10_1002_lno_11417.pdf,"[13999, 14018]"
facility,"National High Magnetic Field Laboratory (Tallahassee, FL, U.S.A.)",10.1002/lno.11417,10_1002_lno_11417.pdf,"[13887, 13952]"
sample_type,Signals greater than 6 σ root mean squared baseline noise and mass to charge ratio from 170 to 1200,10.1002/lno.11417,10_1002_lno_11417.pdf,"[14207, 14306]"
instrument,FT-ICR MS,10.1002/lno.11417,10_1002_lno_11417.pdf,"[15964, 15973]"
software_tools,JMP Pro 12 (SAS Institute),10.1002/lno.11417,10_1002_lno_11417.pdf,"[15846, 15872]"
sample_type,dissolved organic matter,10.1002/lno.11716,10_1002_lno_11716.pdf,"[962, 986]"
sample_type,water samples,10.1002/lno.11716,10_1002_lno_11716.pdf,"[1697, 1710]"
facility,the laboratory,10.1002/lno.11716,10_1002_lno_11716.pdf,"[1996, 2010]"
instrument,FTICR MS,10.1002/lno.11716,10_1002_lno_11716.pdf,"[5518, 5526]"
sample_type,samples,10.1002/lno.11716,10_1002_lno_11716.pdf,"[5491, 5498]"
sample_type,dissolved organic matter,10.1002/lno.11716,10_1002_lno_11716.pdf,"[5741, 5765]"
sample_type,dissolved organic matter,10.1002/lno.11716,10_1002_lno_11716.pdf,"[6307, 6331]"
sample_type,dissolved organic matter,10.1002/lno.11716,10_1002_lno_11716.pdf,"[8390, 8414]"
software_tools,ArcGIS 10.2,10.1002/lno.11716,10_1002_lno_11716.pdf,"[12294, 12305]"
software_tools,MATLAB R2015b,10.1002/lno.11716,10_1002_lno_11716.pdf,"[12546, 12559]"
software_tools,R i386 2.15.2,10.1002/lno.11716,10_1002_lno_11716.pdf,"[12840, 12853]"
instrument,Fourier transform ion cyclotron resonance mass spectrometry (FT-ICR MS),10.1002/lno.11857,10_1002_lno_11857.pdf,"[1547, 1618]"
instrument,Shimadzu TOC-LCPH analyzer,10.1002/lno.11857,10_1002_lno_11857.pdf,"[3345, 3371]"
instrument,Agilent 8453 UV-visible spectroscopy system,10.1002/lno.11857,10_1002_lno_11857.pdf,"[4267, 4311]"
sample_type,chromophoric dissolved organic matter (CDOM),10.1002/lno.11857,10_1002_lno_11857.pdf,"[4173, 4217]"
sample_type,DOM,10.1002/lno.11857,10_1002_lno_11857.pdf,"[4941, 4944]"
instrument,4 T Fourier transform-ion cyclotron resonance mass spectrometer,10.1002/lno.11857,10_1002_lno_11857.pdf,"[5550, 5613]"
ionization_method,negative electrospray ionization mode,10.1002/lno.11857,10_1002_lno_11857.pdf,"[5783, 5820]"
sample_type,Samples,10.1002/lno.11857,10_1002_lno_11857.pdf,"[5755, 5762]"
facility,National High Magnetic Field Laboratory,10.1002/lno.11857,10_1002_lno_11857.pdf,"[5633, 5672]"
software_tools,"PetroOrg, Kendrick mass defect analysis with PetroOrg",10.1002/lno.11857,10_1002_lno_11857.pdf,"[6405, 6465]"
sample_type,DOM molecular composition,10.1002/lno.11857,10_1002_lno_11857.pdf,"[7781, 7806]"
instrument,Shimadzu TOC-L total organic carbon analyzer,10.1002/lno.12436,10_1002_lno_12436.pdf,"[5832, 5876]"
instrument,Thermo Scienti fi c Gas Bench II,10.1002/lno.12436,10_1002_lno_12436.pdf,"[7126, 7158]"
sample_type,DOC samples,10.1002/lno.12436,10_1002_lno_12436.pdf,"[6637, 6648]"
instrument,mini carbon dating accelerator mass spectrometer (MICADAS) system,10.1002/lno.12436,10_1002_lno_12436.pdf,"[7507, 7572]"
sample_type,CO2 in the headspace of the second aliquot,10.1002/lno.12436,10_1002_lno_12436.pdf,"[7425, 7467]"
facility,LIP at ETH Zurich,10.1002/lno.12436,10_1002_lno_12436.pdf,"[7621, 7638]"
instrument,21 Tesla FT-ICRMS,10.1002/lno.12436,10_1002_lno_12436.pdf,"[8784, 8801]"
sample_type,Dissolved organic matter (DOM) in river samples,10.1002/lno.12436,10_1002_lno_12436.pdf,"[8190, 8237]"
facility,"National Magnetic Field Laboratory at Florida State University, USA",10.1002/lno.12436,10_1002_lno_12436.pdf,"[8809, 8876]"
instrument,"Automated Nitrogen Carbon Analyzer, SerCon",10.1002/lno.12436,10_1002_lno_12436.pdf,"[11494, 11536]"
sample_type,Total suspended solids (TSS),10.1002/lno.12436,10_1002_lno_12436.pdf,"[11196, 11224]"
software_tools,fouriertransform,10.1002/lno.12436,10_1002_lno_12436.pdf,"[16969, 16985]"
dataset_accession,10.17605/OSF.IO/NGE7K,10.1002/lno.12436,10_1002_lno_12436.pdf,"[17295, 17317]"
sample_type,"microbially derived DOM from the oligotrophic supraglacial Cotton Glacier stream, Antarctica (CG)",10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[1028, 1125]"
sample_type,"microbially derived DOM from the eutrophic coastal pond, Pony Lake, Antarctica (IHSS Pony Lake Fulvic Acid; PL)",10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[1127, 1238]"
sample_type,"terrestrially derived DOM from the Suwannee River, U.S.A. (IHSS Natural Organic Matter; SR)",10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[1244, 1335]"
instrument,Fluoromax-4 spectrofluorometer,10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[2422, 2452]"
sample_type,External metabolites,10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[3639, 3659]"
instrument,UPLC-Q-TOF MS,10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[3998, 4011]"
ionization_method,electrospray ionization (ESI),10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[4320, 4349]"
sample_type,external metabolites,10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[4080, 4100]"
ionization_method,ESI,10.1002/lol2.10082,10_1002_lol2_10082.pdf,"[4898, 4901]"
instrument,Shimadzu TOC-VCPH,10.1002/lol2.10388,10_1002_lol2_10388.pdf,"[2832, 2849]"
sample_type,DOC concentration,10.1002/lol2.10388,10_1002_lol2_10388.pdf,"[2796, 2813]"
instrument,21 T FT-ICR MS,10.1002/lol2.10388,10_1002_lol2_10388.pdf,"[3571, 3585]"
facility,National High Magnetic Field Laboratory,10.1002/lol2.10388,10_1002_lol2_10388.pdf,"[3593, 3632]"
sample_type,marine metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[10724, 10742]"
sample_type,intracellular metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[19963, 19988]"
sample_type,biomass in seawater,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[20016, 20035]"
sample_type,abundant microbial metabolites in biomass,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[23309, 23350]"
dataset_accession,"23782242, 2025, 5",10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[23621, 23638]"
sample_type,labile metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[24258, 24276]"
sample_type,phytoplankton cytoplasm,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[24280, 24303]"
sample_type,Escherichia coli,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[24418, 24434]"
sample_type,metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[25757, 25768]"
sample_type,metabolome,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[27510, 27520]"
dataset_accession,"23782242, 2025, 5",10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[27994, 28011]"
sample_type,metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[33887, 33898]"
sample_type,glycolate,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[34067, 34076]"
facility,"Florida State University, Wiley Online Library",10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[34686, 34732]"
sample_type,Polyunsaturated fatty acids (PUFAs),10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[50654, 50691]"
sample_type,Marine microbial communities,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[50693, 50721]"
sample_type,docosahexaenoic acid (DHA; c22 ω 3),10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[50809, 50844]"
sample_type,eicosapentaenoic acid (EPA; c20 ω 3),10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[50846, 50882]"
sample_type,Indicator metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[60431, 60452]"
sample_type,oxylipins,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[61504, 61513]"
sample_type,PUFAs,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[61546, 61551]"
sample_type,diatom cell lysis,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[61756, 61773]"
sample_type,oxylipins,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[61958, 61967]"
sample_type,eicosatetraenoic acid-derived oxylipins,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[61992, 62031]"
sample_type,oxylipin compounds,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[62266, 62284]"
sample_type,lipid indicators of nutrient scarcity,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[63262, 63299]"
dataset_accession,23782242,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[63420, 63428]"
sample_type,membrane lipids,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[64709, 64724]"
sample_type,HAB toxins,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[65562, 65572]"
sample_type,methylthioadenosine,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[71128, 71147]"
sample_type,small organic acids like acetate,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[76824, 76856]"
sample_type,marine polysaccharide degrading communities,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[76942, 76985]"
sample_type,polysaccharides,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[77198, 77213]"
sample_type,metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[78595, 78606]"
sample_type,metabolites,10.1002/lol2.70046,10_1002_lol2_70046.pdf,"[80445, 80456]"
sample_type,Seven commercially available SPE sorbents,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[801, 842]"
sample_type,DON in the sample water after it passed through each SPE cartridge,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[2996, 3062]"
sample_type,Strata CN,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5379, 5388]"
sample_type,Silica based,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5392, 5404]"
sample_type,"Polar, hydroxyl groups",10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5449, 5471]"
sample_type,ENV,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5542, 5545]"
sample_type,Polystyrene-divinyl benzene,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5555, 5582]"
sample_type,Polar,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5612, 5617]"
sample_type,1,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5637, 5638]"
sample_type,100,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5651, 5654]"
sample_type,3,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5698, 5699]"
sample_type,PPL,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5705, 5708]"
sample_type,Modified polystyrene divinyl benzene,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5729, 5756]"
sample_type,Polar,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5775, 5780]"
sample_type,3,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5800, 5801]"
sample_type,100,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5814, 5817]"
sample_type,4,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5861, 5862]"
sample_type,PSA,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5868, 5871]"
sample_type,Alkylated amine,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5881, 5896]"
sample_type,Polar,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5938, 5943]"
sample_type,12,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5963, 5965]"
sample_type,2000,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[5977, 5981]"
sample_type,2,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6024, 6025]"
sample_type,Diol (2OH),10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6031, 6041]"
sample_type,Similar to unbonded silica,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6044, 6070]"
sample_type,Polar and nonpolar,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6101, 6119]"
sample_type,6,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6126, 6127]"
sample_type,1000,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6140, 6144]"
sample_type,2,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6187, 6188]"
sample_type,Plexa,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6194, 6199]"
sample_type,"Hydroxylated surface, polystyrene-divinyl benzene core",10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6207, 6261]"
sample_type,Nonpolar,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6264, 6272]"
sample_type,6,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6289, 6290]"
sample_type,500,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6303, 6306]"
sample_type,2,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6350, 6351]"
instrument,custom-built 9.4 T FT-ICR mass spectrometer,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6820, 6863]"
ionization_method,direct infusion ESI in negative ion mode,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6703, 6743]"
sample_type,Samples (diluted 1:1 in methanol),10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6592, 6628]"
facility,National High Magnetic Field Laboratory,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[6871, 6910]"
software_tools,Predator,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[7044, 7052]"
sample_type,crude extracts,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[7681, 7695]"
sample_type,Mass spectral peaks,10.1002/lom3.10558,10_1002_lom3_10558.pdf,"[9144, 9163]"
